paper,metric,scale_type,scale_value,runs,avg_ms,ok_runs,total_runs,status,message,model_type,avg_candidate_count,avg_exact_match_count
b20,search,keyword_pool_size,10,5,0.130,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,1000.000,1000.000
b20,search,keyword_pool_size,300,5,0.117,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,440.800,440.800
b20,search,keyword_pool_size,500,5,0.108,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,353.600,353.600
b20,search,keyword_pool_size,1000,5,0.115,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,160.200,160.200
b20,search,file_count,10,5,0.021,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,2.200,2.200
b20,search,file_count,100,5,0.029,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,20.800,20.800
b20,search,file_count,300,5,0.073,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,50.000,50.000
b20,search,file_count,500,5,0.085,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,77.400,77.400
b20,search,file_count,1000,5,0.164,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,160.200,160.200
b20,encryption,keyword_count,10,5,0.079,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,50,5,0.084,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,300,5,0.082,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,500,5,0.081,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,10,5,0.101,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,50,5,0.096,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,300,5,0.090,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,500,5,0.097,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,10,5,0.095,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,50,5,0.083,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,300,5,0.077,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,500,5,0.083,5,5,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b30,keygen,attribute_count,10,5,0.574,5,5,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,20,5,0.982,5,5,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,30,5,1.599,5,5,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,40,5,1.994,5,5,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,50,5,2.752,5,5,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b31,keygen,attribute_count,10,5,0.266,5,5,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,keygen,attribute_count,20,5,0.445,5,5,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,keygen,attribute_count,30,5,0.673,5,5,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,keygen,attribute_count,40,5,1.203,5,5,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
