paper,metric,scale_type,scale_value,run,ms,status,message,model_type,candidate_count,exact_match_count
b20,search,keyword_pool_size,10,1,0.210,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,1000,1000
b20,search,keyword_pool_size,10,2,0.099,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,1000,1000
b20,search,keyword_pool_size,10,3,0.101,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,1000,1000
b20,search,keyword_pool_size,10,4,0.127,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,1000,1000
b20,search,keyword_pool_size,10,5,0.113,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,1000,1000
b20,search,keyword_pool_size,300,1,0.127,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,363,363
b20,search,keyword_pool_size,300,2,0.139,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,521,521
b20,search,keyword_pool_size,300,3,0.107,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,533,533
b20,search,keyword_pool_size,300,4,0.118,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,415,415
b20,search,keyword_pool_size,300,5,0.094,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,372,372
b20,search,keyword_pool_size,500,1,0.095,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,272,272
b20,search,keyword_pool_size,500,2,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,228,228
b20,search,keyword_pool_size,500,3,0.084,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,506,506
b20,search,keyword_pool_size,500,4,0.201,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,328,328
b20,search,keyword_pool_size,500,5,0.083,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,434,434
b20,search,keyword_pool_size,1000,1,0.089,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,222,222
b20,search,keyword_pool_size,1000,2,0.077,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,146,146
b20,search,keyword_pool_size,1000,3,0.262,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,162,162
b20,search,keyword_pool_size,1000,4,0.071,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,140,140
b20,search,keyword_pool_size,1000,5,0.077,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,131,131
b20,search,file_count,10,1,0.021,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,2,2
b20,search,file_count,10,2,0.022,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,3,3
b20,search,file_count,10,3,0.021,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,3,3
b20,search,file_count,10,4,0.018,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,1,1
b20,search,file_count,10,5,0.021,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,2,2
b20,search,file_count,100,1,0.042,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,27,27
b20,search,file_count,100,2,0.025,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,22,22
b20,search,file_count,100,3,0.025,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,9,9
b20,search,file_count,100,4,0.028,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,31,31
b20,search,file_count,100,5,0.025,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,15,15
b20,search,file_count,300,1,0.066,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,34,34
b20,search,file_count,300,2,0.052,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,33,33
b20,search,file_count,300,3,0.053,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,78,78
b20,search,file_count,300,4,0.052,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,63,63
b20,search,file_count,300,5,0.143,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,42,42
b20,search,file_count,500,1,0.097,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,90,90
b20,search,file_count,500,2,0.079,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,75,75
b20,search,file_count,500,3,0.092,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,81,81
b20,search,file_count,500,4,0.078,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,63,63
b20,search,file_count,500,5,0.080,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,78,78
b20,search,file_count,1000,1,0.176,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,222,222
b20,search,file_count,1000,2,0.153,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,146,146
b20,search,file_count,1000,3,0.184,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,162,162
b20,search,file_count,1000,4,0.156,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,140,140
b20,search,file_count,1000,5,0.150,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,131,131
b20,encryption,keyword_count,10,1,0.076,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,10,2,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,10,3,0.076,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,10,4,0.074,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,10,5,0.096,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,50,1,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,50,2,0.097,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,50,3,0.089,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,50,4,0.086,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,50,5,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,300,1,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,300,2,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,300,3,0.097,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,300,4,0.074,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,300,5,0.087,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,500,1,0.086,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,500,2,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,500,3,0.081,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,500,4,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,encryption,keyword_count,500,5,0.086,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,10,1,0.113,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,10,2,0.088,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,10,3,0.083,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,10,4,0.099,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,10,5,0.122,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,50,1,0.085,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,50,2,0.101,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,50,3,0.106,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,50,4,0.111,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,50,5,0.078,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,300,1,0.097,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,300,2,0.090,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,300,3,0.085,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,300,4,0.091,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,300,5,0.087,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,500,1,0.084,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,500,2,0.099,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,500,3,0.110,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,500,4,0.101,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,decryption,keyword_count,500,5,0.092,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,10,1,0.098,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,10,2,0.087,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,10,3,0.082,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,10,4,0.101,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,10,5,0.107,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,50,1,0.093,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,50,2,0.084,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,50,3,0.076,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,50,4,0.086,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,50,5,0.076,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,300,1,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,300,2,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,300,3,0.086,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,300,4,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,300,5,0.076,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,500,1,0.101,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,500,2,0.076,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,500,3,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,500,4,0.075,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b20,trapdoor,keyword_count,500,5,0.088,ok,reference_model: BGN/CKKS-style batched HE surrogate; not a full b20 implementation,reference_model,,
b30,keygen,attribute_count,10,1,0.520,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,10,2,0.492,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,10,3,0.611,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,10,4,0.616,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,10,5,0.632,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,20,1,1.009,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,20,2,0.961,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,20,3,0.947,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,20,4,0.974,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,20,5,1.017,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,30,1,1.962,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,30,2,1.718,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,30,3,1.423,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,30,4,1.453,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,30,5,1.440,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,40,1,1.874,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,40,2,1.894,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,40,3,1.969,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,40,4,1.944,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,40,5,2.290,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
b30,keygen,attribute_count,50,1,3.519,ok,primitive_surrogate: lattice keygen comparison using deterministic module-vector arithmetic,primitive_surrogate,,
